tweet_id,created_at,favorite_count,retweet_count,character_count
892420643555336193,2017-08-01 16:23:56+00:00,39467,8853,85
892177421306343426,2017-08-01 00:17:27+00:00,33819,6514,138
891815181378084864,2017-07-31 00:18:03+00:00,25461,4328,121
891689557279858688,2017-07-30 15:58:51+00:00,42908,8964,79
891327558926688256,2017-07-29 16:00:24+00:00,41048,9774,138
891087950875897856,2017-07-29 00:08:17+00:00,20562,3261,138
890971913173991426,2017-07-28 16:27:12+00:00,12041,2158,140
890729181411237888,2017-07-28 00:22:40+00:00,56848,16716,118
890609185150312448,2017-07-27 16:25:51+00:00,28226,4429,122
890240255349198849,2017-07-26 15:59:51+00:00,32467,7711,133
890006608113172480,2017-07-26 00:31:25+00:00,31166,7624,130
889880896479866881,2017-07-25 16:11:53+00:00,28268,5156,107
889665388333682689,2017-07-25 01:55:32+00:00,38818,8538,106
889638837579907072,2017-07-25 00:10:02+00:00,27672,4735,91
889531135344209921,2017-07-24 17:02:04+00:00,15359,2321,118
889278841981685760,2017-07-24 00:19:32+00:00,25652,5637,138
888917238123831296,2017-07-23 00:22:39+00:00,29611,4709,86
888804989199671297,2017-07-22 16:56:37+00:00,26080,4559,128
888554962724278272,2017-07-22 00:23:06+00:00,20290,3732,87
888078434458587136,2017-07-20 16:49:33+00:00,22201,3653,127
887705289381826560,2017-07-19 16:06:48+00:00,30779,5609,127
887517139158093824,2017-07-19 03:39:09+00:00,46959,12082,108
887473957103951883,2017-07-19 00:47:34+00:00,69871,18781,99
887343217045368832,2017-07-18 16:08:03+00:00,34222,10737,88
887101392804085760,2017-07-18 00:07:08+00:00,31061,6167,129
886983233522544640,2017-07-17 16:17:36+00:00,35859,8084,101
886736880519319552,2017-07-16 23:58:41+00:00,12306,3443,121
886680336477933568,2017-07-16 20:14:00+00:00,22798,4610,71
886366144734445568,2017-07-15 23:25:31+00:00,21524,3316,131
886267009285017600,2017-07-15 16:51:35+00:00,117,4,105
886258384151887873,2017-07-15 16:17:19+00:00,28469,6523,94
885984800019947520,2017-07-14 22:10:11+00:00,33382,7097,140
885528943205470208,2017-07-13 15:58:47+00:00,36689,6683,109
885518971528720385,2017-07-13 15:19:09+00:00,20788,3899,47
885167619883638784,2017-07-12 16:03:00+00:00,22367,4556,134
884925521741709313,2017-07-12 00:01:00+00:00,68152,16439,93
884876753390489601,2017-07-11 20:47:12+00:00,28514,6096,118
884562892145688576,2017-07-11 00:00:02+00:00,24765,5100,66
884441805382717440,2017-07-10 15:58:53+00:00,27478,5856,136
884247878851493888,2017-07-10 03:08:17+00:00,74423,21298,104
884162670584377345,2017-07-09 21:29:42+00:00,20771,3128,140
883838122936631299,2017-07-09 00:00:04+00:00,22349,3586,137
883482846933004288,2017-07-08 00:28:19+00:00,46860,10407,112
883360690899218434,2017-07-07 16:22:55+00:00,22986,3825,139
883117836046086144,2017-07-07 00:17:54+00:00,37914,6949,111
882992080364220416,2017-07-06 15:58:11+00:00,24445,4122,108
882762694511734784,2017-07-06 00:46:41+00:00,28903,5134,114
882627270321602560,2017-07-05 15:48:34+00:00,28382,6342,136
882268110199369728,2017-07-04 16:01:23+00:00,45880,12118,114
882045870035918850,2017-07-04 01:18:17+00:00,29900,5203,133
881906580714921986,2017-07-03 16:04:48+00:00,24773,3533,67
881666595344535552,2017-07-03 00:11:11+00:00,51522,11099,115
881633300179243008,2017-07-02 21:58:53+00:00,129,7,91
881536004380872706,2017-07-02 15:32:16+00:00,50199,16570,130
881268444196462592,2017-07-01 21:49:04+00:00,23501,5358,138
880935762899988482,2017-06-30 23:47:07+00:00,17346,2886,72
880872448815771648,2017-06-30 19:35:32+00:00,21734,3989,137
880465832366813184,2017-06-29 16:39:47+00:00,29075,6546,114
880221127280381952,2017-06-29 00:27:25+00:00,27640,4436,108
880095782870896641,2017-06-28 16:09:20+00:00,28150,4533,129
879862464715927552,2017-06-28 00:42:13+00:00,22667,3642,91
879674319642796034,2017-06-27 12:14:36+00:00,315,10,31
879492040517615616,2017-06-27 00:10:17+00:00,23822,3323,90
879415818425184262,2017-06-26 19:07:24+00:00,107956,45849,82
879376492567855104,2017-06-26 16:31:08+00:00,17099,3261,125
879050749262655488,2017-06-25 18:56:45+00:00,23022,4941,132
879008229531029506,2017-06-25 16:07:47+00:00,19317,2812,94
878776093423087618,2017-06-25 00:45:22+00:00,19763,4319,126
878604707211726852,2017-06-24 13:24:20+00:00,30931,7582,45
878281511006478336,2017-06-23 16:00:04+00:00,7913,1349,140
878057613040115712,2017-06-23 01:10:23+00:00,42876,7181,115
877736472329191424,2017-06-22 03:54:17+00:00,71144,17300,93
877556246731214848,2017-06-21 15:58:08+00:00,23258,3994,139
877316821321428993,2017-06-21 00:06:44+00:00,27907,5414,137
877201837425926144,2017-06-20 16:29:50+00:00,27755,5880,128
876838120628539392,2017-06-19 16:24:33+00:00,21125,3506,125
876537666061221889,2017-06-18 20:30:39+00:00,23869,4800,117
876484053909872640,2017-06-18 16:57:37+00:00,19163,2511,127
876120275196170240,2017-06-17 16:52:05+00:00,28490,4903,140
875747767867523072,2017-06-16 16:11:53+00:00,25773,4497,125
875144289856114688,2017-06-15 00:13:52+00:00,22185,5081,133
875097192612077568,2017-06-14 21:06:43+00:00,27997,6342,96
875021211251597312,2017-06-14 16:04:48+00:00,26022,4922,115
874680097055178752,2017-06-13 17:29:20+00:00,28439,4875,92
874296783580663808,2017-06-12 16:06:11+00:00,26651,4308,114
874057562936811520,2017-06-12 00:15:36+00:00,23134,4125,129
874012996292530176,2017-06-11 21:18:31+00:00,35501,11007,139
873580283840344065,2017-06-10 16:39:04+00:00,24837,4143,135
873213775632977920,2017-06-09 16:22:42+00:00,7467,1667,140
872967104147763200,2017-06-09 00:02:31+00:00,28031,5669,132
872820683541237760,2017-06-08 14:20:41+00:00,15029,3884,140
872620804844003328,2017-06-08 01:06:27+00:00,21309,3911,116
